,category,permanency,failure_classification,count,percentage,FIT
43,not_clustered_multi_bank,transient,Uncorrectable,18,0.0005201410160087846,0.05692167577413478
44,not_clustered_single_bank,permanent,Not Uncorrectable,104,0.003005259203606311,0.3288807933616677
45,not_clustered_single_bank,permanent,Uncorrectable,13,0.0003756574004507889,0.04111009917020846
46,not_clustered_single_bank,transient,Not Uncorrectable,87,0.0025140149107091255,0.27512143290831814
47,not_clustered_single_bank,transient,Uncorrectable,36,0.0010402820320175692,0.11384335154826956
48,not_clustered_single_column,permanent,Not Uncorrectable,3,8.669016933479743e-05,0.009486945962355798
49,not_clustered_single_column,transient,Not Uncorrectable,2,5.779344622319829e-05,0.006324630641570532
50,potential_csl_column,permanent,Not Uncorrectable,139,0.0040166445125122815,0.439561829589152
51,potential_csl_column,permanent,Uncorrectable,8,0.00023117378489279317,0.02529852256628213
52,potential_sense_amp,permanent,Not Uncorrectable,412,0.011905449921978848,1.3028739121635295
53,potential_sense_amp,permanent,Uncorrectable,11,0.0003178639542275906,0.034785468528637925
54,single_csl_bank,permanent,Not Uncorrectable,63,0.001820493556030746,0.19922586520947175
55,single_csl_bank,transient,Not Uncorrectable,1224,0.03536958908859735,3.8706739526411655
56,single_csl_bank,transient,Uncorrectable,12,0.0003467606773391897,0.03794778384942319
57,single_csl_column,permanent,Not Uncorrectable,26,0.0007513148009015778,0.08222019834041693
58,single_csl_column,transient,Not Uncorrectable,619,0.01788707160607987,1.9574731835660797
59,single_csl_column,transient,Uncorrectable,21,0.000606831185343582,0.06640862173649058
60,single_sense_amp,permanent,Not Uncorrectable,298,0.008611223487256545,0.9423699655940093
61,single_sense_amp,permanent,Uncorrectable,1,2.8896723111599146e-05,0.003162315320785266
62,single_sense_amp,transient,Not Uncorrectable,1571,0.04539675200832226,4.967997368953653
63,single_sense_amp,transient,Uncorrectable,49,0.0014159394324683582,0.15495345071847805
64,subarray_row_decoder,permanent,Not Uncorrectable,170,0.004912442928971855,0.5375936045334953
65,subarray_row_decoder,permanent,Uncorrectable,8,0.00023117378489279317,0.02529852256628213
66,subarray_row_decoder,transient,Not Uncorrectable,39,0.0011269722013523666,0.12333029751062537
67,subarray_row_decoder,transient,Uncorrectable,21,0.000606831185343582,0.06640862173649058
68,subarray_row_decoder_two_clusters,permanent,Not Uncorrectable,142,0.004103334681847079,0.4490487755515078
69,subarray_row_decoder_two_clusters,permanent,Uncorrectable,32,0.0009246951395711727,0.10119409026512852
70,subarray_row_decoder_two_clusters,transient,Not Uncorrectable,44,0.0012714558169103624,0.1391418741145517
71,subarray_row_decoder_two_clusters,transient,Uncorrectable,12,0.0003467606773391897,0.03794778384942319
